Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
25-02-2023,Goal,Visual,0.5,0,4,8
25-02-2023,Streak,Visual,0.227272727,0,5,22
25-02-2023,Collection,Visual,0.027777778,0,1,36
25-02-2023,Course Certificate,Visual,0.3125,0,15,48
26-02-2023,Level,Visual,0.024590164,0,3,122
26-02-2023,Goal,Visual,0.526315789,0,30,57
26-02-2023,Streak,Visual,0.28,0,7,25
26-02-2023,Collection,Visual,0,0,0,36
26-02-2023,Course Certificate,Visual,0.340425532,2,16,47
27-02-2023,Level,Visual,0.042372881,0,5,118
27-02-2023,Goal,Visual,0,0,0,1
27-02-2023,Streak,Visual,0.166666667,0,5,30
27-02-2023,Collection,Visual,0.052631579,0,2,38
27-02-2023,Course Certificate,Visual,0.215686275,0,11,51
27-02-2023,Career Track Certificate,Visual,1,0,1,1
28-02-2023,Level,Visual,0.017857143,0,2,112
28-02-2023,Streak,Visual,0.368421053,1,7,19
28-02-2023,Collection,Visual,0.03125,0,1,32
28-02-2023,Course Certificate,Visual,0.101694915,0,6,59
01-03-2023,Text Post,Text Post,1,1,2,2
01-03-2023,Level,Visual,0.004273504,0,1,234
01-03-2023,Streak,Visual,0.318181818,0,7,22
01-03-2023,Collection,Visual,0.014184397,0,2,141
01-03-2023,Course Certificate,Visual,0.086206897,0,5,58
01-03-2023,Career Track Certificate,Visual,0,0,0,1
02-03-2023,Level,Visual,0.004338395,0,2,461
02-03-2023,Streak,Visual,0.074074074,0,2,27
02-03-2023,Collection,Visual,0,0,0,280
02-03-2023,Course Certificate,Visual,0.075471698,0,8,106
02-03-2023,Career Track Certificate,Visual,0,0,0,1
03-03-2023,Text Post,Text Post,1,1,1,1
03-03-2023,Level,Visual,0.010638298,0,4,376
03-03-2023,Streak,Visual,0.111111111,0,2,18
03-03-2023,Collection,Visual,0.008403361,0,2,238
03-03-2023,Course Certificate,Visual,0.053097345,0,6,113
04-03-2023,Level,Visual,0.007556675,0,3,397
04-03-2023,Goal,Visual,0.571428571,0,4,7
04-03-2023,Streak,Visual,0.166666667,0,4,24
04-03-2023,Collection,Visual,0.004524887,0,1,221
04-03-2023,Course Certificate,Visual,0.056074766,0,6,107
05-03-2023,Level,Visual,0.032085561,1,12,374
05-03-2023,Goal,Visual,0.453125,1,29,64
05-03-2023,Streak,Visual,0.15,0,3,20
05-03-2023,Collection,Visual,0.010152284,0,2,197
05-03-2023,Course Certificate,Visual,0.104166667,0,15,144
05-03-2023,Career Track Certificate,Visual,0.5,0,1,2
06-03-2023,Text Post,Text Post,1,0,1,1
06-03-2023,Level,Visual,0.025423729,0,9,354
06-03-2023,Goal,Visual,0.4,0,2,5
06-03-2023,Streak,Visual,0.090909091,0,3,33
06-03-2023,Collection,Visual,0.004651163,0,1,215
06-03-2023,Course Certificate,Visual,0.175182482,0,24,137
06-03-2023,Career Track Certificate,Visual,1,1,4,4
07-03-2023,Text Post,Text Post,1,2,3,3
07-03-2023,Level,Visual,0.019125683,0,7,366
07-03-2023,Streak,Visual,0.055555556,0,2,36
07-03-2023,Collection,Visual,0.024154589,0,5,207
07-03-2023,Course Certificate,Visual,0.082089552,0,11,134
08-03-2023,Level,Visual,0.004773270,0,2,419
08-03-2023,Streak,Visual,0.133333333,0,4,30
08-03-2023,Collection,Visual,0.024038462,0,5,208
08-03-2023,Course Certificate,Visual,0.108571429,0,19,175
09-03-2023,Level,Visual,0.020710059,0,7,338
09-03-2023,Streak,Visual,0.129032258,0,4,31
09-03-2023,Collection,Visual,0,0,0,149
09-03-2023,Course Certificate,Visual,0.114457831,0,19,166
09-03-2023,Career Track Certificate,Visual,0,0,0,3
10-03-2023,Level,Visual,0.006666667,0,2,300
10-03-2023,Streak,Visual,0.097560976,0,4,41
10-03-2023,Collection,Visual,0.007575758,0,1,132
10-03-2023,Course Certificate,Visual,0.035971223,0,5,139
10-03-2023,Career Track Certificate,Visual,0,0,0,2
11-03-2023,Text Post,Text Post,1,1,1,1
11-03-2023,Level,Visual,0.003367003,0,1,297
11-03-2023,Goal,Visual,0.25,0,1,4
11-03-2023,Streak,Visual,0.153846154,0,6,39
11-03-2023,Collection,Visual,0.007407407,0,1,135
11-03-2023,Course Certificate,Visual,0.064516129,0,10,155
11-03-2023,Career Track Certificate,Visual,0,0,0,1
12-03-2023,Text Post,Text Post,0,0,0,1
12-03-2023,Level,Visual,0.006711409,0,2,298
12-03-2023,Goal,Visual,0.265625,0,17,64
12-03-2023,Streak,Visual,0,0,0,36
12-03-2023,Collection,Visual,0,0,0,131
12-03-2023,Course Certificate,Visual,0.022598870,0,4,177
12-03-2023,Career Track Certificate,Visual,1,1,1,1
13-03-2023,Level,Visual,0.005633803,0,2,355
13-03-2023,Goal,Visual,0.166666667,0,1,6
13-03-2023,Streak,Visual,0,0,0,40
13-03-2023,Collection,Visual,0,0,0,151
13-03-2023,Course Certificate,Visual,0.015151515,0,3,198
14-03-2023,Level,Visual,0.002666667,0,1,375
14-03-2023,Streak,Visual,0.03125,0,1,32
14-03-2023,Collection,Visual,0,0,0,151
14-03-2023,Course Certificate,Visual,0.029702970,0,6,202
14-03-2023,Career Track Certificate,Visual,0,0,0,1
15-03-2023,Level,Visual,0.008064516,0,3,372
15-03-2023,Streak,Visual,0.125,0,3,24
15-03-2023,Collection,Visual,0.005988024,0,1,167
15-03-2023,Course Certificate,Visual,0.116182573,1,28,241
16-03-2023,Level,Visual,0.002739726,0,1,365
16-03-2023,Streak,Visual,0,0,0,31
16-03-2023,Collection,Visual,0,0,0,153
16-03-2023,Course Certificate,Visual,0.026737968,0,5,187
17-03-2023,Text Post,Text Post,0.5,2,1,2
17-03-2023,Level,Visual,0.013937282,0,4,287
17-03-2023,Streak,Visual,0.073170732,0,3,41
17-03-2023,Collection,Visual,0.025862069,0,3,116
17-03-2023,Course Certificate,Visual,0.171003717,1,46,269
17-03-2023,Career Track Certificate,Visual,0.75,2,3,4
18-03-2023,Text Post,Text Post,1,3,3,3
18-03-2023,Level,Visual,0.006666667,0,2,300
18-03-2023,Goal,Visual,0.428571429,0,3,7
18-03-2023,Streak,Visual,0,0,0,37
18-03-2023,Collection,Visual,0.019607843,0,2,102
18-03-2023,Course Certificate,Visual,0.037735849,0,8,212
19-03-2023,Level,Visual,0.009174312,0,3,327
19-03-2023,Goal,Visual,0.447368421,0,34,76
19-03-2023,Streak,Visual,0.121212121,0,4,33
19-03-2023,Collection,Visual,0.007751938,0,1,129
19-03-2023,Course Certificate,Visual,0.016891892,0,5,296
19-03-2023,Career Track Certificate,Visual,0,0,0,3
20-03-2023,Text Post,Text Post,1,1,1,1
20-03-2023,Level,Visual,0.007556675,0,3,397
20-03-2023,Goal,Visual,0.25,0,1,4
20-03-2023,Streak,Visual,0.074074074,0,2,27
20-03-2023,Collection,Visual,0,0,0,139
20-03-2023,Course Certificate,Visual,0.024336283,0,11,452
20-03-2023,Career Track Certificate,Visual,0,0,0,1
21-03-2023,Level,Visual,0.005420054,0,2,369
21-03-2023,Streak,Visual,0.068965517,1,2,29
21-03-2023,Collection,Visual,0.022058824,0,3,136
21-03-2023,Course Certificate,Visual,0.019379845,0,10,516
21-03-2023,Career Track Certificate,Visual,0,0,0,5
22-03-2023,Text Post,Text Post,1,1,1,1
22-03-2023,Level,Visual,0.01,0,1,100
22-03-2023,Streak,Visual,0.133333333,0,2,15
22-03-2023,Collection,Visual,0.023809524,0,1,42
22-03-2023,Course Certificate,Visual,0.222222222,0,8,36
22-03-2023,Career Track Certificate,Visual,0,0,0,1
23-03-2023,Text Post,Text Post,1,1,1,1
23-03-2023,Level,Visual,0,0,0,105
23-03-2023,Streak,Visual,0.25,0,6,24
23-03-2023,Collection,Visual,0,0,0,52
23-03-2023,Course Certificate,Visual,0.121951220,0,5,41
23-03-2023,Career Track Certificate,Visual,0,0,0,1
24-03-2023,Text Post,Text Post,1,0,1,1
24-03-2023,Level,Visual,0.011363636,0,1,88
24-03-2023,Streak,Visual,0.105263158,0,2,19
24-03-2023,Collection,Visual,0,0,0,35
24-03-2023,Course Certificate,Visual,0.057142857,0,2,35
